#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Shohei Ohtani,LAA,4,1,0,6,6,38.0,10.18,2.61,0.00,.241,84.8%,50.0%,0.0%,97.3,1.18, ,1.80,2.81,1.6,6,2022-09-01
2,Clayton Kershaw,LAD,5,0,0,7,7,41.0,10.76,1.76,0.66,.247,90.9%,43.9%,9.4%,90.6,1.54, ,2.26,2.46,1.5,6,2022-09-01
3,Blake Snell,SDP,2,3,0,6,6,35.0,12.09,2.57,0.51,.253,81.6%,35.1%,5.7%,96.0,2.06, ,2.03,2.77,1.4,6,2022-09-01
4,Aaron Nola,PHI,2,2,0,6,6,34.1,11.80,1.83,0.52,.278,78.8%,44.4%,8.3%,93.0,2.36, ,1.95,2.23,1.3,6,2022-09-01
5,Jose Quintana,STL,2,1,0,6,6,33.1,7.56,1.08,0.00,.239,88.5%,46.0%,0.0%,91.5,0.81, ,1.88,3.22,1.3,6,2022-09-01
6,Triston McKenzie,CLE,2,0,0,6,6,38.2,9.54,1.16,0.70,.257,80.5%,37.3%,6.4%,93.0,2.09, ,2.39,3.18,1.3,6,2022-09-01
7,Framber Valdez,HOU,3,2,0,6,6,37.1,10.61,2.65,0.48,.352,65.7%,64.5%,11.8%,94.6,3.62, ,2.34,2.31,1.2,6,2022-09-01
8,Brandon Woodruff,MIL,4,1,0,7,7,44.2,11.69,2.01,1.01,.263,86.1%,42.7%,11.9%,96.4,2.42, ,2.78,2.71,1.1,6,2022-09-01
9,Alex Cobb,SFG,3,2,0,7,7,38.2,8.38,2.33,0.23,.351,73.1%,62.3%,4.2%,95.7,3.49, ,2.44,3.02,1.1,6,2022-09-01
10,Corbin Burnes,MIL,3,2,0,7,7,43.2,9.89,1.65,0.82,.269,71.4%,55.7%,16.7%,96.3,3.30, ,2.79,2.42,1.1,6,2022-09-01
11,Alek Manoah,TOR,4,0,0,6,6,41.0,7.24,2.63,0.44,.196,96.4%,36.7%,3.7%,93.5,0.88, ,3.09,4.40,1.1,6,2022-09-01
12,Zac Gallen,ARI,2,2,0,6,6,38.1,11.03,1.88,0.94,.224,78.7%,36.4%,10.8%,94.1,2.58, ,2.64,2.72,1.0,6,2022-09-01
13,Logan Gilbert,SEA,3,1,0,6,6,36.0,10.25,2.00,0.50,.261,83.9%,42.7%,6.3%,96.7,2.00, ,2.39,2.98,1.0,6,2022-09-01
14,Lance Lynn,CHW,4,2,0,6,6,37.1,7.96,1.45,0.72,.301,71.8%,42.2%,6.7%,93.0,2.41, ,3.11,3.85,1.0,6,2022-09-01
15,Jeffrey Springs,TBR,3,1,0,7,7,34.1,8.91,2.10,0.52,.240,83.3%,35.1%,4.7%,91.5,1.57, ,2.68,3.77,0.9,6,2022-09-01
16,Kyle Freeland,COL,2,2,0,6,6,32.2,8.27,2.48,0.55,.364,77.4%,43.0%,5.3%,90.4,3.03, ,2.99,3.92,0.9,6,2022-09-01
17,Yu Darvish,SDP,5,1,0,6,6,39.0,10.15,1.85,1.15,.200,96.2%,26.6%,9.3%,94.3,1.85, ,3.29,3.68,0.9,6,2022-09-01
18,Dylan Cease,CHW,2,2,0,6,6,37.0,9.00,3.89,0.49,.228,86.0%,36.6%,4.7%,96.5,1.95, ,3.19,4.21,0.9,6,2022-09-01
19,Shane Bieber,CLE,5,1,0,7,7,48.0,8.44,0.75,1.31,.252,87.3%,50.4%,16.3%,91.7,2.44, ,3.38,2.81,0.9,6,2022-09-01
20,Brayan Bello,BOS,2,4,0,6,6,31.1,8.90,3.45,0.29,.365,75.1%,51.5%,3.8%,96.9,2.59, ,2.70,3.51,0.8,6,2022-09-01
21,Johnny Cueto,CHW,2,4,0,6,6,34.2,6.49,1.56,0.52,.350,62.2%,36.8%,4.3%,91.3,4.67, ,3.11,4.33,0.8,6,2022-09-01
22,Jose Urena,COL,0,3,0,6,6,33.1,7.02,2.70,0.54,.333,72.4%,49.5%,7.4%,95.6,3.51, ,3.32,3.74,0.8,6,2022-09-01
23,Nick Lodolo,CIN,1,2,0,6,6,36.1,12.14,2.48,1.24,.239,90.3%,57.9%,20.8%,94.6,2.48, ,3.53,2.72,0.8,6,2022-09-01
24,Martin Perez,TEX,2,3,0,6,6,37.1,6.03,3.62,0.00,.313,76.9%,50.0%,0.0%,92.9,2.89, ,3.06,4.21,0.8,6,2022-09-01
25,Sandy Alcantara,MIA,2,3,0,6,6,43.0,8.37,0.84,1.26,.281,79.2%,49.6%,16.2%,98.4,2.93, ,3.55,3.02,0.8,6,2022-09-01
26,Luis Castillo,SEA,3,1,0,6,6,33.2,10.16,2.41,0.80,.295,67.0%,50.6%,8.6%,97.6,3.48, ,2.99,3.38,0.8,6,2022-09-01
27,Cal Quantrill,CLE,4,0,0,7,7,37.1,7.23,1.45,0.96,.336,81.5%,44.0%,8.7%,94.3,2.89, ,3.54,3.97,0.7,6,2022-09-01
28,Pablo Lopez,MIA,2,2,0,6,6,34.0,8.47,2.12,1.06,.293,69.8%,47.9%,11.8%,95.0,4.24, ,3.55,3.51,0.7,6,2022-09-01
29,Hayden Wesneski,CHC,3,2,0,6,4,33.0,9.00,1.91,0.82,.244,83.9%,47.1%,8.3%,93.4,2.18, ,3.20,3.64,0.7,6,2022-09-01
30,Ross Stripling,TOR,4,0,0,6,6,33.1,6.75,1.08,1.08,.235,75.8%,32.0%,8.3%,92.1,3.24, ,3.62,4.20,0.7,6,2022-09-01
