Name,Team,Type
Aaron Nola,PHI,Starter
Carlos Rodon,SFG,Starter
Justin Verlander,HOU,Starter
Sandy Alcantara,MIA,Starter
Kevin Gausman,TOR,Starter
Shohei Ohtani,LAA,Starter
Max Fried,ATL,Starter
Spencer Strider,ATL,Starter
Shane Bieber,CLE,Starter
Corbin Burnes,MIL,Starter
Framber Valdez,HOU,Starter
Dylan Cease,CHW,Starter
Max Scherzer,NYM,Starter
Zac Gallen,ARI,Starter
Yu Darvish,SDP,Starter
Logan Webb,SFG,Starter
Zack Wheeler,PHI,Starter
Alek Manoah,TOR,Starter
Tyler Anderson,LAD,Starter
Jose Quintana,- - -,Starter
Martin Perez,TEX,Starter
Clayton Kershaw,LAD,Starter
Patrick Sandoval,LAA,Starter
Luis Castillo,- - -,Starter
Alex Cobb,SFG,Starter
Blake Snell,SDP,Starter
Nestor Cortes,NYY,Starter
Triston McKenzie,CLE,Starter
Shane McClanahan,TBR,Starter
Brandon Woodruff,MIL,Starter
Joe Musgrove,SDP,Starter
Cristian Javier,HOU,Starter
Merrill Kelly,ARI,Starter
Gerrit Cole,NYY,Starter
Julio Urias,LAD,Starter
Logan Gilbert,SEA,Starter
Ross Stripling,TOR,Starter
Corey Kluber,TBR,Starter
George Kirby,SEA,Starter
Jeffrey Springs,TBR,Starter
Edwin Diaz,NYM,Reliever
Drew Rasmussen,TBR,Starter
Kyle Wright,ATL,Starter
Tarik Skubal,DET,Starter
Brady Singer,KCR,Starter
Pablo Lopez,MIA,Starter
Adam Wainwright,STL,Starter
Miles Mikolas,STL,Starter
Jordan Montgomery,- - -,Starter
Chris Bassitt,NYM,Starter
Tony Gonsolin,LAD,Starter
Justin Steele,CHC,Starter
Kyle Freeland,COL,Starter
Taijuan Walker,NYM,Starter
Johnny Cueto,CHW,Starter
Emmanuel Clase,CLE,Reliever
Carlos Carrasco,NYM,Starter
Sonny Gray,MIN,Starter
Ranger Suarez,PHI,Starter
Reid Detmers,LAA,Starter
Jameson Taillon,NYY,Starter
Noah Syndergaard,- - -,Starter
Devin Williams,MIL,Reliever
Jacob deGrom,NYM,Reliever
Cal Quantrill,CLE,Starter
Evan Phillips,LAD,Reliever
Jesus Luzardo,MIA,Starter
Mitch Keller,PIT,Starter
Tyler Mahle,- - -,Starter
Joe Ryan,MIN,Starter
Luis Garcia,HOU,Starter
A.J. Minter,ATL,Reliever
Reynaldo Lopez,CHW,Reliever
Marcus Stroman,CHC,Starter
Frankie Montas,- - -,Starter
Ryan Helsley,STL,Reliever
Freddy Peralta,MIL,Reliever
JT Brubaker,PIT,Starter
Andres Munoz,SEA,Reliever
Lance Lynn,CHW,Starter
Zack Greinke,KCR,Starter
Nick Lodolo,CIN,Starter
Daniel Bard,COL,Reliever
Kyle Gibson,PHI,Starter
Jon Gray,TEX,Starter
Lucas Giolito,CHW,Starter
Dean Kremer,BAL,Starter
Rich Hill,BOS,Starter
Robbie Ray,SEA,Starter
Erik Swanson,SEA,Reliever
John Schreiber,BOS,Reliever
Trevor Stephan,CLE,Reliever
Alex Wood,SFG,Starter
Michael King,NYY,Reliever
Jose Alvarado,PHI,Reliever
Hector Neris,HOU,Reliever
Jose Suarez,LAA,Starter
Jordan Romano,TOR,Reliever
Chris Martin,- - -,Reliever
Caleb Thielbar,MIN,Reliever
Jimmy Herget,LAA,Reliever
Luis Garcia,SDP,Reliever
Liam Hendriks,CHW,Reliever
Hunter Greene,CIN,Starter
Raisel Iglesias,- - -,Reliever
Rafael Montero,HOU,Reliever
Michael Wacha,BOS,Starter
Jhoan Duran,MIN,Reliever
Alex Vesia,LAD,Reliever
Charlie Morton,ATL,Starter
Nick Pivetta,BOS,Starter
David Bednar,PIT,Reliever
Adrian Sampson,CHC,Starter
Braxton Garrett,MIA,Starter
David Peterson,NYM,Starter
Jordan Lyles,BAL,Starter
Joe Jimenez,DET,Reliever
Antonio Senzatela,COL,Starter
Cole Irvin,OAK,Starter
Bailey Ober,MIN,Reliever
German Marquez,COL,Starter
Collin McHugh,ATL,Reliever
Garrett Whitlock,BOS,Reliever
Luis Severino,NYY,Starter
Bryan Abreu,HOU,Reliever
Ryan Pressly,HOU,Reliever
Zach Eflin,PHI,Reliever
Felix Bautista,BAL,Reliever
Bryan Baker,BAL,Reliever
Scott Effross,- - -,Reliever
Matt Moore,TEX,Reliever
Giovanny Gallegos,STL,Reliever
Graham Ashcraft,CIN,Starter
Aaron Civale,CLE,Starter
Jakob Junis,SFG,Starter
Anthony Bass,- - -,Reliever
Mitch White,- - -,Starter
Drew Smyly,CHC,Starter
Jake Odorizzi,- - -,Starter
Jason Adam,TBR,Reliever
Brayan Bello,BOS,Reliever
Pete Fairbanks,TBR,Reliever
Camilo Doval,SFG,Reliever
Joe Mantiply,ARI,Reliever
Dylan Lee,ATL,Reliever
Sean Manaea,SDP,Starter
Andrew Heaney,LAD,Reliever
Clay Holmes,NYY,Reliever
Jose Berrios,TOR,Starter
Adam Ottavino,NYM,Reliever
Kenley Jansen,ATL,Reliever
Sam Hentges,CLE,Reliever
Eric Lauer,MIL,Starter
Jose Urquidy,HOU,Starter
Matt Manning,DET,Reliever
Michael Kopech,CHW,Starter
Michael Lorenzen,LAA,Starter
Alexis Diaz,CIN,Reliever
Adrian Houser,MIL,Starter
Dakota Hudson,STL,Starter
Taylor Rogers,- - -,Reliever
Buck Farmer,CIN,Reliever
Nathan Eovaldi,BOS,Starter
Hunter Harvey,WSN,Reliever
Enyel De Los Santos,CLE,Reliever
Nick Nelson,PHI,Reliever
Andrew Bellatti,PHI,Reliever
Seranthony Dominguez,PHI,Reliever
Austin Voth,- - -,Starter
James Karinchak,CLE,Reliever
Cionel Perez,BAL,Reliever
J.P. Feyereisen,TBR,Reliever
Walker Buehler,LAD,Reliever
Wandy Peralta,NYY,Reliever
Brock Burke,TEX,Starter
Duane Underwood Jr.,PIT,Reliever
Brooks Raley,TBR,Reliever
Ryne Stanek,HOU,Reliever
Tyler Kinley,COL,Reliever
Ian Anderson,ATL,Starter
Roansy Contreras,PIT,Starter
Chris Paddack,MIN,Reliever
Austin Gomber,COL,Starter
Aaron Ashby,MIL,Starter
Andrew Chafin,DET,Reliever
Tyler Wells,BAL,Starter
Zach Jackson,OAK,Reliever
Spenser Watkins,BAL,Starter
Zach Plesac,CLE,Starter
Adam Cimber,TOR,Reliever
John Brebbia,SFG,Reliever
Yimi Garcia,TOR,Reliever
Griffin Jax,MIN,Reliever
Jovani Moran,MIN,Reliever
Taylor Hearn,TEX,Starter
